,date,time,latitude,longitude,deepness,md,ml,mw,place
5,Tarih     ,Saat    ,Enlem(N),Boylam(,lik(,MD ,Mw ,ML ,Yer                                             Ç
6,----------,--------,--------,-------,----,---,-- ,---,--------------                                  -
50,2023.03.31,10:20:45,37.8987 ,36.7038,8.4 ,-.-,-.-,2.2,SAHINKAYASI-(KAHRAMANMARAS)
51,2023.03.31,10:19:02,38.2935 ,38.6892,5.0 ,-.-,-.-,2.2,KAMISTAS-(MALATYA)
52,2023.03.31,10:17:37,38.1095 ,36.2337,5.0 ,-.-,-.-,2.5,BEYPINARI-SAIMBEYLI (ADANA)
53,2023.03.31,10:11:18,37.2973 ,37.1745,3.0 ,-.-,-.-,2.4,KARABIYIKLI-PAZARCIK (KAHRAMANMARAS)
54,2023.03.31,10:08:20,37.9452 ,36.3165,2.9 ,-.-,-.-,1.5,HACIKODAL-GOKSUN (KAHRAMANMARAS)
55,2023.03.31,09:59:34,38.4332 ,37.6625,7.7 ,-.-,-.-,1.9,KAYNAK-DARENDE (MALATYA)
56,2023.03.31,09:57:25,37.8613 ,36.4935,4.0 ,-.-,2.2,2.0,KUMARLI-(KAHRAMANMARAS)
57,2023.03.31,09:52:17,38.1793 ,38.3448,0.4 ,-.-,-.-,2.1,ONCU-YESILYURT (MALATYA)
58,2023.03.31,09:48:21,37.8425 ,35.3767,1.0 ,-.-,-.-,1.6,ULUPINAR-YAHYALI (KAYSERI)
59,2023.03.31,09:45:56,37.8958 ,36.4562,3.9 ,-.-,-.-,1.7,DEGIRMENDERE-GOKSUN (KAHRAMANMARAS)
60,2023.03.31,09:38:00,37.9237 ,36.6458,8.5 ,-.-,-.-,2.3,TEKIR-(KAHRAMANMARAS)
61,2023.03.31,09:34:24,37.9537 ,36.2528,5.4 ,-.-,-.-,1.5,KALEBOYNU-GOKSUN (KAHRAMANMARAS)
62,2023.03.31,09:27:38,37.9558 ,36.2325,5.8 ,-.-,-.-,2.3,KALEBOYNU-GOKSUN (KAHRAMANMARAS)
63,2023.03.31,09:17:44,37.4363 ,36.9093,8.6 ,-.-,-.-,1.5,KUYUMCULAR-TURKOGLU (KAHRAMANMARAS)
64,2023.03.31,09:14:37,38.0697 ,38.2343,4.5 ,-.-,-.-,2.2,GOLBAGI-CELIKHAN (ADIYAMAN)
65,2023.03.31,09:02:31,37.7348 ,38.3197,8.7 ,-.-,-.-,1.9,LOKMAN-(ADIYAMAN)
66,2023.03.31,08:15:28,38.0143 ,37.5738,2.2 ,-.-,-.-,1.8,TATLAR-NURHAK (KAHRAMANMARAS)
67,2023.03.31,08:03:52,37.9090 ,37.6140,0.0 ,-.-,-.-,2.1,MEYDANKOY-GOLBASI (ADIYAMAN)
68,2023.03.31,07:59:13,39.0640 ,41.1827,7.8 ,-.-,-.-,1.7,BAGLIISA-KARLIOVA (BINGOL)
69,2023.03.31,07:57:37,38.2625 ,38.1983,6.5 ,-.-,-.-,1.7,SEYITUSAGI-YESILYURT (MALATYA)
70,2023.03.31,07:47:27,37.8632 ,36.3402,5.8 ,-.-,-.-,2.2,KUCUKCAMURLU-GOKSUN (KAHRAMANMARAS)
