,latitude,longitude,mw
0,Enlem(N),Boylam(,ML 
1,--------,-------,---
177,38.3705 ,37.4042,3.1
178,38.2987 ,38.2083,2.3
179,38.0028 ,35.9140,1.8
180,34.2722 ,27.0330,3.0
181,38.0905 ,32.5603,1.5
182,37.3573 ,36.7495,1.6
183,38.2390 ,38.6782,2.0
184,38.0743 ,38.3668,2.9
185,38.3818 ,37.4257,1.9
186,34.9392 ,24.1457,2.8
187,38.1823 ,37.8420,2.1
188,38.9947 ,24.3118,2.6
189,37.8158 ,37.5963,2.1
190,38.0902 ,32.5852,1.3
191,37.9518 ,27.1368,1.8
192,36.1813 ,28.1118,2.3
193,38.0805 ,40.1083,1.9
194,38.0805 ,38.4132,1.9
195,39.2592 ,33.0385,2.3
196,37.8138 ,37.6920,2.1
197,37.0097 ,28.1912,2.0
198,37.9392 ,37.9700,3.0
199,38.0245 ,37.6550,1.9
200,39.4357 ,37.1942,2.6
201,37.0580 ,28.3957,0.7
202,38.3835 ,37.3962,3.5
203,39.1882 ,40.3695,2.4
204,37.9753 ,36.5242,3.0
205,37.8800 ,29.0322,1.8
206,39.8480 ,27.8010,1.7
207,37.6733 ,36.2885,2.2
208,38.1205 ,36.9315,2.1
209,38.1522 ,36.9187,2.1
210,37.7427 ,29.1318,0.8
211,38.1160 ,38.4172,2.4
212,37.8778 ,36.2537,2.3
213,37.8588 ,29.0553,1.3
214,38.2768 ,37.7125,1.7
215,37.9658 ,36.3525,2.1
216,37.0707 ,28.3448,1.9
217,39.2187 ,40.2948,2.3
218,36.9170 ,36.5132,1.5
219,38.0767 ,36.6023,1.6
220,39.9725 ,40.0640,1.5
221,40.1300 ,33.8338,1.4
222,37.9875 ,37.3953,1.7
223,38.1328 ,38.3920,2.0
224,38.5110 ,37.3668,1.6
225,38.3793 ,29.8875,1.3
226,40.8092 ,31.3555,1.4
227,35.6677 ,27.3352,2.4
228,38.1657 ,37.8135,2.0
229,38.0118 ,41.5460,1.9
230,39.6070 ,38.2787,1.9
231,38.3408 ,37.1578,1.9
232,38.0840 ,36.5022,1.7
233,38.2625 ,38.0755,1.1
234,36.8855 ,27.9837,1.6
235,37.9272 ,36.2160,1.6
236,38.1690 ,37.1472,1.5
237,39.4697 ,39.7438,1.6
238,39.2218 ,40.3992,2.0
239,37.8490 ,29.0893,1.2
240,38.7818 ,37.7377,1.4
241,37.2118 ,30.6437,1.8
242,36.0678 ,27.2217,2.4
243,36.0382 ,27.0145,2.0
244,38.1523 ,38.5480,2.1
245,37.7402 ,36.2532,1.9
246,38.1175 ,36.5608,1.8
247,38.0192 ,37.5880,2.1
248,38.7773 ,27.4710,1.7
249,38.1105 ,37.8738,3.2
250,38.4200 ,37.4953,1.3
251,38.4648 ,36.6768,2.4
252,38.5063 ,39.2303,2.5
253,38.3510 ,37.8938,1.9
254,38.1458 ,36.5922,3.8
255,39.2940 ,24.7415,1.5
256,38.4220 ,38.6253,1.9
257,36.9933 ,36.4153,1.3
258,36.8832 ,27.9745,1.9
259,37.8075 ,27.3305,1.1
260,34.8077 ,25.2317,2.5
261,38.3982 ,37.4575,1.7
262,35.0287 ,23.0860,2.1
263,38.1097 ,38.4152,2.6
264,37.8730 ,36.4638,2.4
265,38.3732 ,37.9472,1.5
266,37.9882 ,36.5685,2.0
267,38.0295 ,37.6733,2.1
268,37.1227 ,36.6500,1.8
269,37.4340 ,37.1522,1.9
270,38.8882 ,38.9707,2.3
271,39.8488 ,30.1713,1.4
272,37.4762 ,37.1905,2.6
273,42.8985 ,41.7208,3.3
274,37.2683 ,36.0112,2.2
275,38.1085 ,36.5288,2.2
276,41.1570 ,44.2752,3.6
277,38.3677 ,38.5508,1.6
278,36.2995 ,36.4510,2.2
279,38.8822 ,43.5698,1.6
280,36.8793 ,27.9543,1.9
281,40.7980 ,31.0735,1.7
282,36.8697 ,27.9482,1.9
283,38.6640 ,25.3770,2.6
284,37.9750 ,37.5172,1.8
285,38.4163 ,37.4408,1.7
286,36.3382 ,36.2620,1.6
287,38.3815 ,36.7015,2.1
288,38.2358 ,37.7803,1.3
289,38.8332 ,37.3932,1.9
290,40.5448 ,32.3078,1.5
291,38.0310 ,36.7563,2.0
292,38.9360 ,29.9252,1.9
293,39.0048 ,29.9538,2.4
294,37.8352 ,29.4785,1.9
295,38.1475 ,36.6007,1.8
296,40.4565 ,29.1910,1.7
297,38.1768 ,38.5130,1.5
298,35.3567 ,33.5538,1.3
299,37.9772 ,27.1352,2.5
300,39.1918 ,40.3152,2.5
301,39.2430 ,27.7290,1.7
302,37.1202 ,28.3520,1.6
303,39.6118 ,29.4832,1.5
304,38.5590 ,27.3433,1.8
305,36.2385 ,28.8490,1.3
306,37.1203 ,36.8273,1.4
307,36.8785 ,27.9670,2.1
308,38.3288 ,38.1943,2.6
309,38.2953 ,38.2225,2.2
310,37.6348 ,35.8470,1.6
311,38.4038 ,38.0265,1.7
312,38.0317 ,37.6375,1.8
313,38.2773 ,37.9888,1.6
314,38.1078 ,37.7667,1.7
315,38.0578 ,38.4882,1.5
316,38.0842 ,26.2832,2.4
317,37.6388 ,35.8542,1.8
318,37.6817 ,35.8057,2.2
319,38.2652 ,38.2040,5.0
320,38.8037 ,37.4200,1.8
321,38.3238 ,36.9823,1.5
322,38.1835 ,37.2432,1.5
323,37.8505 ,36.5352,2.2
324,38.0620 ,26.5312,2.3
325,38.0063 ,38.1138,2.2
326,38.0328 ,36.6158,2.4
327,36.8615 ,27.9730,1.4
328,36.0137 ,35.9718,1.9
329,38.1177 ,26.3260,2.2
330,38.2948 ,38.2015,2.0
331,38.4648 ,36.6660,2.0
332,37.1340 ,28.7798,1.2
333,39.7523 ,37.3907,1.4
334,36.8803 ,27.9732,2.2
335,39.6838 ,37.3700,2.0
336,36.8958 ,27.9880,1.3
337,36.8545 ,27.9620,1.5
338,40.4018 ,28.7383,1.5
339,36.8692 ,27.9817,1.5
340,38.0253 ,36.5642,2.0
341,37.0820 ,28.4535,1.2
342,38.3927 ,36.6833,1.7
343,38.0918 ,36.6707,1.7
344,39.0210 ,29.8752,1.8
345,36.8683 ,27.9663,2.1
346,37.9823 ,36.3477,1.7
347,37.3658 ,37.1282,1.6
348,37.0775 ,28.9387,1.3
349,37.6298 ,35.3475,2.0
350,36.9288 ,36.4637,1.6
351,37.9975 ,36.4042,1.9
352,37.7453 ,36.6117,1.5
353,37.2193 ,30.6072,1.9
354,38.1025 ,38.5473,1.9
355,38.0863 ,38.4785,2.6
356,40.8478 ,42.8060,2.2
357,39.0828 ,40.1082,1.8
358,38.1082 ,36.5983,2.3
359,38.3610 ,37.3662,2.0
360,38.0203 ,37.6762,1.7
361,38.0978 ,37.1215,2.0
362,39.6862 ,43.6175,2.2
363,39.6228 ,43.6468,1.8
364,39.5963 ,43.6120,1.8
365,39.5413 ,43.6460,2.0
366,39.6053 ,43.7017,2.2
367,39.6153 ,43.6265,3.2
368,37.9607 ,36.4227,2.6
369,39.0897 ,40.1100,3.2
370,38.2773 ,37.3432,1.9
371,36.4963 ,27.7758,1.6
372,38.1115 ,37.7802,1.4
373,39.5657 ,43.6767,2.5
374,38.1762 ,36.5923,1.1
375,38.1093 ,36.5273,1.5
376,38.1293 ,37.1270,1.8
377,38.1222 ,37.1177,2.3
378,38.2805 ,37.2133,1.5
379,38.0558 ,30.1685,1.8
380,38.4577 ,37.3138,1.6
381,38.5925 ,36.5552,1.4
382,39.6097 ,43.6170,4.1
383,38.5097 ,36.6505,1.4
384,36.9812 ,29.4422,2.2
385,37.1020 ,28.4400,1.6
386,36.8483 ,27.9585,1.4
387,37.7177 ,35.3710,2.3
388,37.0438 ,28.4653,1.5
389,36.9422 ,36.5637,1.7
390,36.1252 ,36.0708,2.0
391,37.9728 ,36.3762,1.6
392,40.1103 ,33.8510,2.1
393,36.8798 ,27.9543,1.8
394,36.8602 ,27.9852,1.6
395,37.0623 ,28.2917,1.6
396,37.6990 ,35.3292,1.5
397,37.2930 ,37.0778,1.8
398,38.4605 ,36.6008,1.7
399,38.3453 ,38.1965,2.0
400,38.0135 ,36.7387,2.1
401,38.3238 ,37.2818,1.7
402,39.5728 ,29.3650,1.7
403,38.0268 ,37.4113,2.2
404,37.6468 ,35.8167,2.7
405,37.9652 ,28.0387,1.8
406,39.3592 ,40.8653,2.4
407,38.5390 ,37.1120,1.8
408,38.0647 ,38.4520,1.8
409,37.8488 ,36.0248,1.7
410,38.0542 ,36.6098,2.3
411,37.9607 ,27.1310,2.0
412,37.1235 ,28.3312,1.4
413,37.7683 ,36.3925,2.1
414,36.0853 ,33.5618,1.9
415,40.5972 ,27.3455,2.1
416,38.5633 ,36.5657,1.5
417,38.4088 ,36.7102,1.6
418,37.8542 ,36.2482,1.9
419,39.2022 ,40.3323,4.0
420,37.2178 ,36.7337,1.9
421,37.9888 ,38.0447,3.2
422,38.3973 ,37.3945,2.1
423,38.4258 ,36.6848,2.3
424,37.8825 ,36.7013,3.2
425,38.6285 ,37.2198,1.6
426,38.2790 ,38.1877,1.8
427,37.0977 ,28.3448,1.2
428,37.1090 ,28.2922,2.7
429,38.7282 ,36.5792,1.6
430,38.4860 ,36.6517,2.0
431,38.0460 ,38.3227,3.5
432,38.3627 ,36.7302,2.4
433,37.1805 ,36.8757,2.0
434,38.8792 ,43.5285,1.8
435,37.8860 ,36.3323,1.8
436,39.0322 ,40.3120,1.8
437,38.2112 ,36.6828,1.7
438,38.6135 ,36.7272,1.4
439,37.9600 ,36.3475,1.7
440,37.8825 ,36.2317,1.9
441,38.3700 ,37.2960,1.6
442,37.8233 ,26.7765,1.8
443,38.3640 ,39.4482,0.9
444,37.8202 ,36.6197,2.1
445,40.0317 ,34.7305,1.8
446,38.0220 ,37.6002,2.0
447,38.3297 ,38.7397,2.0
448,38.0287 ,38.1893,2.0
449,39.0710 ,29.8983,1.3
450,36.5833 ,36.4468,2.3
451,37.1067 ,28.3083,2.2
452,35.4065 ,25.8655,3.1
453,38.0698 ,38.1695,1.7
454,37.1288 ,28.1792,1.0
455,37.9928 ,38.2008,2.7
456,38.4353 ,37.2635,1.4
457,36.5973 ,36.4477,2.0
458,38.2978 ,38.2105,1.4
459,36.8123 ,29.0360,1.2
460,39.3452 ,40.8690,1.7
461,38.1030 ,36.6552,1.5
462,37.6968 ,26.8433,1.9
463,38.5255 ,36.6725,1.9
464,38.2765 ,37.2500,1.3
465,38.7047 ,44.5832,1.6
466,38.7485 ,37.3423,1.5
467,37.4248 ,30.8613,1.6
468,38.2623 ,37.7623,2.0
469,36.2587 ,28.8868,2.0
470,38.1687 ,37.8100,1.3
471,38.2843 ,37.8047,1.8
472,38.2850 ,37.7677,2.0
473,37.1045 ,28.2722,2.0
474,36.4417 ,26.7062,2.5
475,38.1018 ,38.3688,1.8
476,39.5980 ,25.9560,1.8
477,38.1798 ,36.7328,2.0
478,37.9675 ,27.1353,1.6
479,38.1105 ,38.3533,1.6
480,36.0677 ,36.0878,2.3
481,38.1528 ,32.2582,1.2
482,38.6578 ,27.7320,1.2
483,37.1632 ,35.8827,1.8
484,37.6240 ,35.7495,1.6
485,38.4673 ,36.6673,1.4
486,38.1215 ,36.9070,2.3
487,38.1385 ,38.5817,2.3
488,37.2158 ,36.9557,1.8
489,38.0587 ,38.4047,2.1
490,38.1115 ,37.0843,1.6
491,36.9843 ,28.2062,1.5
492,38.5477 ,36.6497,1.4
493,38.2900 ,38.1235,2.3
494,38.4258 ,36.7147,1.9
495,37.4435 ,37.1213,1.9
496,38.5578 ,36.6883,1.5
497,36.9947 ,28.1753,1.6
498,42.5378 ,26.4337,3.3
499,38.5105 ,36.6752,2.1
500,38.4317 ,37.4205,1.7
501,37.7033 ,36.4740,2.1
502,,,
